i	xhat	x_rek	x_srk	x_gerk_ad
177	0	-0.0896118992503563	-0	-0
178	0	-0.0344842566682131	0.848783570203155	0
179	0	0.0753618533100535	0	0
180	0	0.144542032600831	0	0
181	0	-0.0188022132505856	0	0
182	0	-0.0250172274217564	-0.10960971667578	0
183	0	-0.0734135453186111	-0	-0
184	0	0.0565724969051089	-0	0
185	0	0.0540907836513141	-0	-0
186	-1.09050158568771	-0.500584393088931	-0.0110156076075842	-1.09050106604355
187	0	0.078595377010992	-0	-0
188	0	0.0713021150249032	0.0541082565177513	0
189	0	0.0130921568327061	-0	-0
190	0	-0.0875139177477665	0	-0
191	0	0.0208683880338847	0	0
192	0	0.0478479816085273	0	-0
193	0	0.0838744680338833	0	0
194	0	0.0702306545367759	0	0
195	0	-0.0277490458831253	0	-0
196	0	0.172272421184251	0	0
197	0	0.076141226832223	0	-0
198	0	-0.111952348619695	-0	-0
199	0	-0.074127910001351	0	-0
200	0	-0.11485970479624	-0	-0
201	0	0.0137538415642698	0	0
202	0	0.137744034429031	0.30843254305803	0
203	-0.770703487947464	-0.4987478317396	-0.793725333333198	-0.77122034552184
204	0	-0.0215803410755564	-0	-0
205	0	-0.0474244743971243	-0	-0
206	0	0.0795021086703107	0	0
207	0	0.0606453867173305	0	0
208	0	-0.109897695479692	-0	-0
209	0	-0.00319218012879862	0	-0
210	0	0.308589422972811	0.713415976895021	0
211	0	-0.00031278104747102	0	-0
212	0	0.0260745912285702	-0	-0
213	0	-0.0489748505139834	-0	0
214	0	0.101505265135682	0.788249236228095	0
215	0	0.179670684245213	0.17330036250253	0
216	-0.0720109087575414	-0.00271639247985881	-0	-0.0721264673980349
217	0	-0.105557783351812	0	-0
218	-0.741488502091017	-0.31094770324289	-0.230273433955612	-0.742161752157156
219	0	-0.043904961475088	0	-0
220	0	0.0169295293974286	0	-0
221	0	0.0602268849745623	-0	-0
222	0	-0.180109280415511	-0	-0
223	0	0.0625525199222604	-1.0013721055193	-0
224	0	-0.0520907242731708	-0	0
225	0	-0.073506993937704	-0	-0
226	0	0.0859428919884768	-0	-0
227	0	-0.00624916851497975	-0	0
228	0	0.0633701096187235	-0	0
229	0	-0.056002221939475	1.0946482272749	0
230	0.365484687499716	0.137776072243301	0	0.365770167718268
231	0	-0.0717624288280438	-0	-0
232	0	-0.108645756884665	-0	0
233	0	-0.0272138633132449	-0	0
234	0	0.100310584287831	-0	0
235	0	0.0116935444312606	-0	0
236	0	0.013643964835705	-0	-0
237	0	0.156147003956649	0	0
238	0	0.140223701180433	0.671505381871677	-0
239	0	0.0919831808380899	0	0
240	0	-0.0633465130572714	-0	-0
241	0	-0.0251288616855982	0	-0.000260091664255668
242	0	0.0504879487652975	-0.501561277575403	-0
243	0	0.0180836221360806	0.115066113996178	-0
244	0	0.00810351453515514	0	0
245	0	0.147196724038187	-0	0
246	0	0.00831867615454038	-0	-0
247	0	-0.0349766884116097	0	-0
248	0	0.0311918512664095	0	0
249	0	0.100793288486955	-0	0
250	0	-0.0233134789755554	0	-0
251	-0.414110423018864	-0.254239663730893	-0.280123575311025	-0.414242556048942
252	0	-0.0435489949909476	-0	0
253	0	-0.0813536824668582	-0	0
254	0	0.032410833056783	0	0
255	0	0.0410462260474075	0	-0
256	0	0.0250626609554322	0	-0
257	0	-0.0523723508965864	-0.520294490104255	-0
258	0	0.0650956983968734	-0	-0
259	0	0.0913203677478744	-0	0
260	0	0.0252748714676457	0	-0
261	0	-0.122470817226294	-0	-0
262	0	-0.101772223204453	-0.555173132969156	-0
263	0	0.0725730038385208	0	-0
264	0	0.0505435319441547	-0.0917384031245874	0
265	0	-0.0100901708997057	0	0
266	0	0.00387863055091785	-0	-0
267	0	0.00822180895038612	0	0
268	0	-0.119582814785469	-0	-0
269	0	0.0309872366059074	-0	0
270	0	-0.186368837204015	-0.00176687861256841	-0
271	0	-0.025342576552602	0	0
272	0	0.0665655982452222	0	-0
273	0	-0.0247973106808872	-0	-0
274	0	0.0253735953515919	-0	0
275	0	0.011244616975421	0	-0
276	0	0.0441490579151395	-0	-0
277	0	-0.259273651233267	-0	-0
278	0	0.0726570253918789	0	-0
279	0	-0.0237653001282505	0	-0
280	0	-0.1275829038988	0	0
281	0	0.0336321132508443	0	0
282	0	0.0339607248875659	0	-0
283	0	-0.0705754196493422	0	-0
284	0	0.200727858266609	0.382813182479008	0
285	0	0.128646469103523	0	0
286	0	0.115468330846481	-0.554213408272827	0
287	1.79797264361554	0.895785667093493	2.786476430571	1.7980080187415
288	0	0.0713362988881093	-0	0
289	0	-2.31106792301785e-05	-0	0
290	0	0.148967974223843	0	-0
291	0	0.0685845029226629	0	0
292	0	0.0436754168675597	-0	0
293	0	0.0580767705317054	-0	-0
294	0	-0.000821991686548447	-0	0
295	0	-0.054351326764059	0	-0
296	0	-0.174713834858154	-0	-0
297	0	-0.0502943501378881	0	-0
298	0	0.201571418024125	0	0
299	0	0.105251002373262	-0	0
300	0	0.0302199270851858	-0	-0
301	0	0.00228960156593509	-0	-0
302	0	-0.131628344229236	-0	-0
303	0	0.000218704047066958	0	-0
304	0	0.0496595934602231	-0	0
305	-0.343096161547559	-0.289451122191977	-0	-0.343127147277187
306	0	-0.108540922229465	-0	-0
307	0	0.0639430326003828	1.06797326850133	-0
308	0	-0.0309804139842874	0	0
309	0	-0.0608813658059997	-0	-0
310	0	-0.00695530139100841	0	-0
311	0	-0.0567499749388689	-0	-0
312	0	0.0785169545020177	0.135168264728508	0
313	0	0.0769937315976065	-0	-0
314	0	0.0708193260278871	0	0
315	0	0.189567638610388	0.0689979245891355	0
316	0	0.0159606193917401	0	-0
317	0	-0.0395158273006572	-0	-0
318	0	-0.0307001963671046	-0	0
319	0	0.0182821347755387	0	-0
320	0	0.108323558628234	0.930307842669204	0
321	0	0.0258228011100281	0.304768478409581	0
322	0	0.0899033680321139	0	0
323	-0.408134646305327	-0.0991908619273288	-0	-0.407939599545286
324	0	-0.0493163396122295	-0	-0
325	0	0.0698037613327544	-0	0
326	0	-0.00261475557879721	0	-0
327	0	-0.104119919666751	0	-0
328	0	0.155918786745155	0.130531497837361	0
329	0	0.0195688915012494	-0	0
330	0	0.0614595410837441	-0	0
331	0	0.141005050714843	0	0
332	0	0.0565736034988874	0	0
333	0	0.0752403120420441	0	0
334	0	0.162059040385482	-0	0
335	0	-0.0557088282357882	-0	0
336	0	0.0169948900817414	-0	0
337	0	-0.0396777676904527	-0	-0
338	0	0.0675130699553429	-0	0
339	0	-0.053103223587715	0	-0
340	0	-0.107994140561408	0	-0
341	0	-0.101776085887782	-0	-0
342	0	-0.215464328327546	-0	-0
343	0	-0.108762108834965	-0	0
344	0	0.112094382126987	0	0
345	0	-0.00838024957367452	0	0
346	0	-0.0960892952873443	-0	-0
347	0	-0.0313310377991242	0	0
348	0	0.0134813338392039	-0	0
349	0	-0.0227163941997868	0	0
350	0	-0.0278947515969952	-0	-0
351	0	0.128193179368929	0	0
352	0	-0.0610108696713027	-0.114075882682673	0
353	0	0.0265827364717092	-0	0
354	0	-0.0434496608813081	0	0
355	0	-0.169334519873168	0	-0
356	-0.0531701064779737	0.139662059741697	0.410791602776672	-0.0526559202226364
357	0	-0.0710222703450444	-0	-0
358	0	-0.0244165582180862	0	-0
359	0	-0.0766987960212018	-0	-0
